MiniDOT Logger Concatenated Data File
Sensor:             7450-162132
Concatenation Date: 2021Nov10 11:11:28 CST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 141.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1636217640,           2021-11-06 16:54:00,           2021-11-06 11:54:00,      3.530000,     20.162000,          9.936000,                   111.529265,      0.977000
                1636218240,           2021-11-06 17:04:00,           2021-11-06 12:04:00,      3.530000,     20.020000,          9.918000,                   111.013608,      0.976000
                1636218840,           2021-11-06 17:14:00,           2021-11-06 12:14:00,      3.530000,     20.321000,          9.064000,                   102.062385,      0.976000
                1636219440,           2021-11-06 17:24:00,           2021-11-06 12:24:00,      3.530000,     20.288000,          9.543000,                   107.385831,      0.975000
                1636220040,           2021-11-06 17:34:00,           2021-11-06 12:34:00,      3.530000,     18.896000,          9.938000,                   108.756472,      0.976000
                1636220640,           2021-11-06 17:44:00,           2021-11-06 12:44:00,      3.530000,     18.594000,          9.165000,                    99.684184,      0.976000
                1636221240,           2021-11-06 17:54:00,           2021-11-06 12:54:00,      3.530000,     18.551000,          9.284000,                   100.890154,      0.976000
                1636221840,           2021-11-06 18:04:00,           2021-11-06 13:04:00,      3.530000,     18.484000,          9.235000,                   100.220767,      0.976000
                1636222440,           2021-11-06 18:14:00,           2021-11-06 13:14:00,      3.530000,     18.467000,          8.871000,                    96.237177,      0.976000
                1636223040,           2021-11-06 18:24:00,           2021-11-06 13:24:00,      3.530000,     18.493000,          9.492000,                   103.028701,      0.976000
                1636223640,           2021-11-06 18:34:00,           2021-11-06 13:34:00,      3.530000,     18.518000,          9.371000,                   101.767166,      0.976000
                1636224240,           2021-11-06 18:44:00,           2021-11-06 13:44:00,      3.530000,     18.526000,          9.525000,                   103.456435,      0.976000
                1636224840,           2021-11-06 18:54:00,           2021-11-06 13:54:00,      3.530000,     18.509000,          9.302000,                   100.999317,      0.976000
                1636225440,           2021-11-06 19:04:00,           2021-11-06 14:04:00,      3.530000,     18.526000,          9.472000,                   102.880771,      0.976000
                1636226040,           2021-11-06 19:14:00,           2021-11-06 14:14:00,      3.530000,     18.493000,          9.222000,                   100.098048,      0.975000
                1636226640,           2021-11-06 19:24:00,           2021-11-06 14:24:00,      3.530000,     18.526000,          9.507000,                   103.260926,      0.976000
                1636227240,           2021-11-06 19:34:00,           2021-11-06 14:34:00,      3.530000,     18.560000,          9.844000,                   106.995335,      0.976000
                1636227840,           2021-11-06 19:44:00,           2021-11-06 14:44:00,      3.530000,     18.577000,          9.936000,                   108.032672,      0.976000
                1636228440,           2021-11-06 19:54:00,           2021-11-06 14:54:00,      3.530000,     18.652000,          9.886000,                   107.653143,      0.975000
                1636229040,           2021-11-06 20:04:00,           2021-11-06 15:04:00,      3.530000,     18.703000,          9.976000,                   108.745836,      0.976000
                1636229640,           2021-11-06 20:14:00,           2021-11-06 15:14:00,      3.530000,     18.686000,          9.728000,                   106.005835,      0.976000
                1636230240,           2021-11-06 20:24:00,           2021-11-06 15:24:00,      3.530000,     18.686000,          9.856000,                   107.400649,      0.976000
                1636230840,           2021-11-06 20:34:00,           2021-11-06 15:34:00,      3.530000,     18.812000,         11.076000,                   121.004036,      0.977000
                1636231440,           2021-11-06 20:44:00,           2021-11-06 15:44:00,      3.530000,     18.745000,          9.982000,                   108.904079,      0.976000
                1636232040,           2021-11-06 20:54:00,           2021-11-06 15:54:00,      3.530000,     18.694000,          9.759000,                   106.360927,      0.976000
                1636232640,           2021-11-06 21:04:00,           2021-11-06 16:04:00,      3.530000,     18.720000,         10.079000,                   109.906554,      0.976000
                1636233240,           2021-11-06 21:14:00,           2021-11-06 16:14:00,      3.520000,     18.837000,         10.769000,                   117.709738,      0.976000
                1636233840,           2021-11-06 21:24:00,           2021-11-06 16:24:00,      3.520000,     18.862000,         10.837000,                   118.513032,      0.976000
                1636234440,           2021-11-06 21:34:00,           2021-11-06 16:34:00,      3.530000,     19.047000,         11.033000,                   121.108893,      0.976000
                1636235040,           2021-11-06 21:44:00,           2021-11-06 16:44:00,      3.520000,     18.879000,         10.898000,                   119.221176,      0.976000
                1636235640,           2021-11-06 21:54:00,           2021-11-06 16:54:00,      3.530000,     18.921000,         11.403000,                   124.851870,      0.978000
                1636236240,           2021-11-06 22:04:00,           2021-11-06 17:04:00,      3.530000,     19.098000,         12.187000,                   133.914145,      0.977000
                1636236840,           2021-11-06 22:14:00,           2021-11-06 17:14:00,      3.530000,     19.400000,         11.483000,                   126.947978,      0.977000
                1636237440,           2021-11-06 22:24:00,           2021-11-06 17:24:00,      3.530000,     19.349000,         11.582000,                   127.911303,      0.977000
                1636238040,           2021-11-06 22:34:00,           2021-11-06 17:34:00,      3.530000,     19.232000,         11.609000,                   127.908019,      0.977000
                1636238640,           2021-11-06 22:44:00,           2021-11-06 17:44:00,      3.530000,     19.156000,         11.568000,                   127.261221,      0.977000
                1636239240,           2021-11-06 22:54:00,           2021-11-06 17:54:00,      3.530000,     19.081000,         11.517000,                   126.508578,      0.976000
                1636239840,           2021-11-06 23:04:00,           2021-11-06 18:04:00,      3.530000,     19.072000,         11.444000,                   125.683869,      0.977000
                1636240440,           2021-11-06 23:14:00,           2021-11-06 18:14:00,      3.530000,     19.072000,         11.339000,                   124.530705,      0.977000
